plant_name,plant,type,capacity,conversion_factor,entry_date,
#N/A,USAQUEN,Hydro,1.8,0.941,15-04-2013,
MRIOFRIO1,RIO FRIO I,Hydro,1.67,0,01-01-1954,
#N/A,RIO SAPUYES,Hydro,1.65,0,01-01-1954,
#N/A,JULIO BRAVO,Hydro,1.5,0,01-01-1942,
#N/A,PATICO - LA CABRERA,Hydro,1.48,0,01-01-1930,
#N/A,RIO PALO,Hydro,1.44,0,01-01-1960,
LAPITA,LA PITA,Hydro,1.42,0,01-01-1965,
#N/A,MUNICIPAL,Hydro,1.4,0,01-01-1935,
#N/A,SANTA RITA,Hydro,1.3,0.675,18-08-2010,
#N/A,CURRUCUCUES,Hydro,1.25,0.52,18-08-2010,
#N/A,COELLO,Hydro,1.2,0.001,10-12-2016,
#N/A,PCH LA LIBERTAD,Hydro,1.2,0,14-03-2020,
#N/A,SAN JOSE DE LA MONTAA II,Hydro,1.1,0.301,06-10-2018,
#N/A,URRAO,Hydro,1.03,0,30-07-2007,
#N/A,POCUNE,Hydro,1,1.018,31-12-2020,
#N/A,RIOFRIO (TAMESIS),Hydro,1,0,01-01-1951,
#N/A,RIO RECIO,Hydro,0.98,0,01-11-1958,
#N/A,INTERMEDIA,Hydro,0.96,0,01-01-1974,
#N/A,CAMPESTRE (EPM),Hydro,0.87,0,01-01-1997,
#N/A,GUACAICA,Hydro,0.86,0,01-01-1992,
#N/A,OVEJAS,Hydro,0.82,0,01-01-1939,
#N/A,AMALFI,Hydro,0.81,0,05-08-2007,
#N/A,INZA,Hydro,0.75,0,05-02-2009,
#N/A,MONDOMO,Hydro,0.75,0,01-01-1958,
#N/A,NUTIBARA,Hydro,0.75,0,01-01-1997,
#N/A,REMEDIOS,Hydro,0.75,0,19-09-2007,
#N/A,CAMPESTRE (CALARCA),Hydro,0.7,0,01-01-1956,
ELCOCUYO,EL COCUYO,Hydro,0.7,0,20-05-2016,
LAREBUSCA,LA REBUSCA,Hydro,0.7,1.09,24-07-2014,
#N/A,PASTALES,Hydro,0.7,0,18-02-2004,
#N/A,UNION,Hydro,0.7,0,01-01-1935,
#N/A,BAYONA,Hydro,0.6,0,01-01-1943,
LAFRISOLERA,LA FRISOLERA,Hydro,0.47,0.5625,29-04-2016,
#N/A,SAN FRANCISCO (PUTUMAYO),Hydro,0.47,0,15-12-2012,
#N/A,ASNAZU,Hydro,0.45,0,01-01-1934,
#N/A,AMERICA,Hydro,0.41,0,01-01-1997,
#N/A,SAN JOSE DE LA MONTANA,Hydro,0.4,0,30-07-2007,
#N/A,SAN JOSE,Hydro,0.38,0.0001,16-11-2003,
#N/A,SILVIA,Hydro,0.38,0,01-01-1994,
#N/A,BELLO,Hydro,0.35,0,01-01-1997,
MRIOGRANDE,RIO GRANDE,Hydro,0.3,0,01-12-2007,
RN_TRINAVAT,TRINA-VATIA BSLI,Solar,19.9,0,10-09-2020,
RN_SCARMELO,CELSIA SOLAR CARMELO,Solar,9.9,0,27-12-2020,
RN_SESPINAL,CELSIA SOLAR ESPINAL,Solar,9.9,0,31-05-2020,
RN_SYUMBO,AUTOG CELSIA SOLAR YUMBO,Solar,9.8,1,03-09-2017,
RN_CELSOLBOL,CELSIA SOLAR BOLIVAR,Solar,8.06,1,16-11-2018,
RN_SBAYUNCA,PLANTA SOLAR BAYUNCA I,Solar,3,0,30-09-2020,
#N/A,DESPACHADAS CENTRALMENTE,Agg,"5,122.00",,,
#N/A,CICLO COMBINADO,Agg,"2,342.00",,,
TEBSA,TEBSAB CC,Thermal,791,7.2131,21-10-1989,
FLORES IV,FLORES 4 CC,Thermal,450,6.9107,01-12-2010,
TSIERRA,TERMOSIERRA CC,Thermal,353,7.1417,07-02-1998,
GECELCA32,GECELCA 32,Thermal,273,8.699,28-09-2018,
TVALLE,TERMOVALLE CC,Thermal,241,6.5573,17-12-2011,
TEMCALI,TERMOEMCALI CC,Thermal,213,7.4639,16-07-1999,
TASAJERO2,TASAJERO 2,Thermal,170,9.7214,30-11-2015,
MERILEC1,MERILECTRICA 1,Thermal,167,9.7655,05-02-1998,
GECELCA3,GECELCA 3,Thermal,164,9.5,17-09-2015,
TASAJER1,TASAJERO 1,Thermal,163,9.1268,20-02-1985,
FLORES1,FLORES I CC,Thermal,160,7.3505,01-11-1993,
PAIPA4,PAIPA 4,Thermal,160,8.64851,08-01-1999,
TCANDEL1,TERMOCANDELARIA 1,Thermal,157,10.4868,18-05-2000,
TCANDEL2,TERMOCANDELARIA 2,Thermal,157,10.4914,13-07-2000,
GUAJIR11,GUAJIRA 1,Thermal,145,9.997,08-08-1983,
GUAJIR21,GUAJIRA 2,Thermal,145,9.773,23-11-1987,
TCENTRO1,TERMOCENTRO CC,Thermal,134,7.6331,30-11-2000,
TERMONORTE,TERMONORTE,Thermal,88,8.01,01-12-2018,
PAIPA2,PAIPA 2,Thermal,72,11.18401,01-01-1975,
PAIPA3,PAIPA 3,Thermal,70,10.46425,06-05-1982,
CTGEMG3,CARTAGENA 3,Thermal,66,13.8215,01-01-1980,
ZIPAEMG4,ZIPAEMG 4,Thermal,64,12.9999,01-04-1981,
ZIPAEMG3,ZIPAEMG 3,Thermal,63,12.8203,01-01-1976,
ZIPAEMG5,ZIPAEMG 5,Thermal,63,14.0096,14-12-1985,
CTGEMG2,CARTAGENA 2,Thermal,62,11.5167,01-01-1980,
BARRANQ3,BARRANQUILLA 3,Thermal,60,10.4846,01-01-1980,
BARRANQ4,BARRANQUILLA 4,Thermal,60,11.8308,01-01-1980,
CTGEMG1,CARTAGENA 1,Thermal,56,12.0837,20-07-1995,
TYOPAL3,TERMOYOPAL G3,Thermal,50,8.4932,31-08-2020,
TYOPAL4,TERMOYOPAL G4,Thermal,50,8.3937,31-08-2020,
PROELECT,PROELECTRICA 1,Thermal,45,8.2719,01-07-1993,
#N/A,PROELECTRICA 2,Thermal,45,8.0707,01-07-1993,
DORADA1,TERMODORADA 1,Thermal,44,10.5559,11-08-1997,
PAIPA1,PAIPA 1,Thermal,36,11.9554,01-01-1963,
ZIPAEMG2,ZIPAEMG 2,Thermal,35,11.72067,01-01-1964,
TYOPAL2,TERMOYOPAL 2,Thermal,30,12.0234,29-07-2004,
TYOPAL1,TERMOYOPAL 1,Thermal,20,13.5515,11-03-2005,
AG_CDSTM2500,AUTOG CDS TM2500,Thermal,19.9,0,31-10-2019,
MTMECHERO4,TERMOMECHERO 4,Thermal,19.3,0,02-02-2018,
MTMECHERO5,TERMOMECHERO 5,Thermal,19.3,0,16-12-2017,
MTMECHERO6,TERMOMECHERO 6,Thermal,19.3,0,02-02-2018,
AG_FERTICOL,AUTOG FERTICOL,Thermal,17,1,28-02-2020,
MPROENCA2,PROENCA II,Thermal,17,0.1,10-10-2017,
#N/A,AUTOG ARGOS CARTAGENA,Thermal,9.9,0,15-03-2016,
AG_ARGOSYUM,AUTOG ARGOS YUMBO,Thermal,9.9,0,20-03-2016,
AG_REFICAR,AUTOG REFICAR,Thermal,9.9,0,26-04-2016,
MTCAPACHOS,TERMOCAPACHOS,Thermal,9.9,0,04-08-2019,
MTBOLIVAR,TERMOBOLIVAR 1,Thermal,9.7,0,04-03-2016,
AG_ARGOSSOG,AUTOG ARGOS SOGAMOSO,Thermal,5,0,02-10-2018,
AG_PTARBELLO,AUTOG PTAR BELLO,Thermal,5,0,30-11-2020,
TPIEDRAS,TERMOPIEDRAS,Thermal,3.75,0,30-12-1999,
AG_TURGAS,AUTOG TURGAS,Thermal,3.5,1,08-02-2020,
AG_COCACOLA,AUTOG COCA-COLA FEMSA,Thermal,2.44,1,25-07-2018,
#N/A,TEQUENDAMA BIOGAS,Thermal,2.25,0,25-06-2016,
#N/A,DONA JUANA,Thermal,1.7,0,29-04-2016,
AG_YAGUARI,AUTOG YAGUARITO,Thermal,1.6,0,22-03-2016,
AG_UNIBOL,AUTOG UNIBOL,Thermal,1.1,0,20-03-2016,
#N/A,AGPE - ECOPETROL LA HORMIGA,Thermal,1,1,16-09-2019,
AG_FAMILIA,AUTOG FAMILIA,Thermal,1,1,23-03-2019,
MJEPIRAC,JEPIRACHI 1 - 15,Wind Onshore,18.42,0,27-04-2004,
RN_SELPASO,RN_SELPASO,Solar,,,,
RN_TRINAVA2,RN_TRINAVA2,Solar,,,,
RN_TRINAVA3,RN_TRINAVA3,Solar,,,,
