provider,flow,area,source,product,frequency,unit,detail,series_id,description,name
US_EIA,REFGROUT,USA,gov_eia_PET,None,Monthly,KBD,PET.MMSRX_R40_2.M,PET.MMSRX_R40_2.M,"PADD 4 Refinery Net Production of Miscellaneous Petroleum Products, Monthly","PADD 4 Refinery Net Production of Miscellaneous Petroleum Products, Monthly"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.MPGRX_R40_2.M,PET.MPGRX_R40_2.M,"PADD 4 Refinery Processing Gain, Monthly","PADD 4 Refinery Processing Gain, Monthly"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.MGFRZ_R40_2.M,PET.MGFRZ_R40_2.M,"PADD 4 Blender Net Production of Finished Motor Gasoline, Monthly ","PADD 4 Blender Net Production of Finished Motor Gasoline, Monthly "
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPOOXE_YOP_R40_2.M,PET.M_EPOOXE_YOP_R40_2.M,"PADD 4 Oxygenate Plant Production of Fuel Ethanol, Monthly","PADD 4 Oxygenate Plant Production of Fuel Ethanol, Monthly"
US_EIA,REFINOBS,USA,gov_eia_PET,None,Monthly,KBD,PET.M_NA_YDR_R40_MBBLD.M,PET.M_NA_YDR_R40_MBBLD.M,"PADD 4 Downstream Processing of Fresh Feed Input by Catalytic Reforming Units, Monthly","PADD 4 Downstream Processing of Fresh Feed Input by Catalytic Reforming Units, Monthly"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPLLEA_FPF_R40_MBBLD.M,PET.M_EPLLEA_FPF_R40_MBBLD.M,"PADD 4 Field Production of Ethane, Monthly (Thousand Barrels per Day)","PADD 4 Field Production of Ethane, Monthly (Thousand Barrels per Day)"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPLLBAI_FPF_R40_MBBLD.A,PET.M_EPLLBAI_FPF_R40_MBBLD.A,"PADD 4 Field Production of Isobutane, Annual (Thousand Barrels per Day)","PADD 4 Field Production of Isobutane, Annual (Thousand Barrels per Day)"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPL2_FPF_R40_MBBLD.M,PET.M_EPL2_FPF_R40_MBBLD.M,"PADD 4 Field Production of Natural Gas Liquids, Monthly (Thousand Barrels per Day)","PADD 4 Field Production of Natural Gas Liquids, Monthly (Thousand Barrels per Day)"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPLLNG_FPF_R40_MBBLD.M,PET.M_EPLLNG_FPF_R40_MBBLD.M,"PADD 4 Field Production of Natural Gasoline, Monthly (Thousand Barrels per Day)","PADD 4 Field Production of Natural Gasoline, Monthly (Thousand Barrels per Day)"
US_EIA,None,USA,gov_eia_PET,None,Monthly,KBD,PET.M_EPLLBAN_FPF_R40_MBBLD.M,PET.M_EPLLBAN_FPF_R40_MBBLD.M,"PADD 4 Field Production of Normal Butane, Monthly (Thousand Barrels per Day)","PADD 4 Field Production of Normal Butane, Monthly (Thousand Barrels per Day)"
